seed,case_id,ablation,delta_recovered_cases,delta_recovered_minor,delta_net_recovered_minor,delta_intervention_cost_minor,delta_contacts,delta_attempts,delta_latency_hours,delta_fatigue_cost_minor,delta_waits
101,sim-1cfb820c-d410-3961-e1cf757bc20a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-545c32c2-1021-6149-5711d06a5bac,without_customer_context,0,0,25,-25,-1,1,-18,-10,0
101,sim-88fb8328-203c-628a-771a57230ca6,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-b3836f56-8b6c-b8df-e7b5d40e7439,without_customer_context,0,0,55,-55,-1,0,-1,-103,1
101,sim-31e32e8e-5228-435e-c483a40f8078,without_customer_context,0,0,55,-55,-1,0,52,-75,1
101,sim-1888d340-507a-85d4-fa182f2a695a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-fbb67b65-81f0-1731-74a950f163c2,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-34421089-bcc2-eeec-28b41f6bcc2f,without_customer_context,0,0,55,-55,-1,0,68,-41,1
101,sim-7726b1dc-376b-910f-eed51506a6c6,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-ae8774bd-c5fc-cd05-6d62d7352b78,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-9663e2db-f47f-e7df-e66677244a7d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-2c133aae-e978-8617-d45d907eaa9b,without_customer_context,0,0,45,-45,-1,0,19,-104,1
101,sim-4e9cc341-b8df-eed8-2cb2f4fcd4b5,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-11509b3f-04fb-8f40-69dac0f3cf43,without_customer_context,0,0,55,-55,-1,0,-7,-99,1
101,sim-253a5898-12a5-4bce-962d105c2321,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f4345812-a031-2127-1de89dc1301d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6e876da0-fb56-650a-0136e04cdf25,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7e64b8fd-382e-64f9-76c5f3c24e08,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7432bddc-0b04-f816-15d895ead8a8,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-92198ba1-b08f-af76-c64e5c700b17,without_customer_context,-1,-152636,-149636,-3000,-1,0,71,-139,1
101,sim-6d51b6f0-a677-37b8-5062a9a6ffe4,without_customer_context,0,0,45,-45,-1,0,38,-4,1
101,sim-2565645e-b8d3-515a-0448d54d4661,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-95380cbe-8e9e-b16c-f7bf35c715e4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-00ef0b3b-a6ae-047d-17fb9f572e54,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f0b370ff-36f5-7f59-27f83cbac705,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6fd726e8-af24-113e-bc5bf4e2c12b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-9fee8cbf-b562-9639-516fa4d15755,without_customer_context,0,0,25,-25,-1,0,45,-7,1
101,sim-91f61f15-8f30-eb19-c260dd1e2fda,without_customer_context,-1,-139700,-139675,-25,-1,1,-2,-197,0
101,sim-a14afc4d-2bbc-aa40-d8dff994bad2,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-fa21846a-8392-5517-10d1f9856787,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-c1ab1d04-89b1-28ab-7905af27b797,without_customer_context,0,0,0,0,0,0,0,0,0
